dataset_id,split,image_id,file_name,source_relative_path,view_relative_path,width,height,ordinary_object_count,has_public_label,class_ids_present
acdc_snow_official_v1,train,1262,snow/train/GOPR0122/GOPR0122_frame_000161_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000161_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000161_rgb_anon.png,1920,1080,11,True,0;2;3;5
acdc_snow_official_v1,train,1267,snow/train/GOPR0122/GOPR0122_frame_000176_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000176_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000176_rgb_anon.png,1920,1080,3,True,0;3
acdc_snow_official_v1,train,1268,snow/train/GOPR0122/GOPR0122_frame_000185_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000185_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000185_rgb_anon.png,1920,1080,19,True,0;2;3
acdc_snow_official_v1,train,1270,snow/train/GOPR0122/GOPR0122_frame_000192_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000192_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000192_rgb_anon.png,1920,1080,7,True,2;3;7
acdc_snow_official_v1,train,1274,snow/train/GOPR0122/GOPR0122_frame_000198_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000198_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000198_rgb_anon.png,1920,1080,9,True,0;2
acdc_snow_official_v1,train,1263,snow/train/GOPR0122/GOPR0122_frame_000205_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000205_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000205_rgb_anon.png,1920,1080,7,True,0;2;3
acdc_snow_official_v1,train,1260,snow/train/GOPR0122/GOPR0122_frame_000212_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000212_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000212_rgb_anon.png,1920,1080,5,True,0;2;6
acdc_snow_official_v1,train,1271,snow/train/GOPR0122/GOPR0122_frame_000221_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000221_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000221_rgb_anon.png,1920,1080,12,True,0;2;5
acdc_snow_official_v1,train,1273,snow/train/GOPR0122/GOPR0122_frame_000227_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000227_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000227_rgb_anon.png,1920,1080,8,True,2;5
acdc_snow_official_v1,train,1261,snow/train/GOPR0122/GOPR0122_frame_000234_rgb_anon.png,snow/train/GOPR0122/GOPR0122_frame_000234_rgb_anon.png,images/train/GOPR0122/GOPR0122_frame_000234_rgb_anon.png,1920,1080,11,True,0;2
