layer_id,layer_type,conv_name,out_channels,pruned_output_channels,amount,new_zero_weights
7,Conv,conv,256,51,0.2,58752
22,C3k2,cv1.conv,256,51,0.2,19584
22,C3k2,cv2.conv,256,51,0.2,19584
22,C3k2,m.0.0.cv1.conv,64,13,0.2,14976
22,C3k2,m.0.0.cv2.conv,128,26,0.2,14976
22,C3k2,m.0.1.attn.qkv.conv,256,51,0.2,6528
22,C3k2,m.0.1.attn.proj.conv,128,26,0.2,3328
22,C3k2,m.0.1.attn.pe.conv,128,26,0.2,234
22,C3k2,m.0.1.ffn.0.conv,256,51,0.2,6528
22,C3k2,m.0.1.ffn.1.conv,128,26,0.2,6656
10,C2PSA,cv1.conv,256,51,0.2,13056
10,C2PSA,cv2.conv,256,51,0.2,13056
10,C2PSA,m.0.attn.qkv.conv,256,51,0.2,6528
10,C2PSA,m.0.attn.proj.conv,128,26,0.2,3328
10,C2PSA,m.0.attn.pe.conv,128,26,0.2,234
10,C2PSA,m.0.ffn.0.conv,256,51,0.2,6528
10,C2PSA,m.0.ffn.1.conv,128,26,0.2,6656
